EventDate,EventName,Quantity,Price,Merchandise_Sales,Concession_Sales
2018-11-11 17:00:00,Free Solo,83,686.75,0.0,298.0
2018-11-11 19:30:00,Studio 54,17,148.5,0.0,41.75
2018-11-12 17:00:00,The Old Man & the Gun,21,171.75,0.0,34.0
2018-11-12 19:00:00,Saving Brinton,32,296.0,0.0,113.25
2018-11-13 17:00:00,Studio 54,4,24.75,10.0,758.5
2018-11-14 17:00:00,Free Solo,57,480.75,0.0,437.25
2018-11-15 17:00:00,The Guilty,31,223.5,0.0,106.0
2018-11-15 19:30:00,Studio 54,14,123.25,0.0,25.0
2018-11-15 21:30:00,The Bird with the Crystal Plumage,10,80.0,0.0,33.0
2018-11-16 17:00:00,Can You Ever Forgive Me?,40,312.25,0.0,144.5
2018-11-16 19:30:00,Can You Ever Forgive Me?,73,670.25,0.0,216.5
2018-11-16 22:00:00,Velvet Goldmine,4,8.0,0.0,8.0
2018-11-17 14:30:00,Can You Ever Forgive Me?,40,329.0,0.0,144.25
2018-11-17 17:00:00,Can You Ever Forgive Me?,59,484.75,0.0,219.25
2018-11-17 19:30:00,Can You Ever Forgive Me?,80,717.5,0.0,277.0
2018-11-17 22:00:00,Velvet Goldmine,12,96.0,0.0,45.25
2018-11-18 14:30:00,Can You Ever Forgive Me?,46,373.5,0.0,114.25
2018-11-18 17:00:00,Can You Ever Forgive Me?,37,303.5,0.0,94.0
2018-11-18 19:30:00,Can You Ever Forgive Me?,20,174.25,0.0,77.0
2018-11-19 17:00:00,Can You Ever Forgive Me?,19,155.75,0.0,74.75
2018-11-19 19:30:00,Can You Ever Forgive Me?,15,134.75,0.0,32.5
2018-11-20 16:30:00,Can You Ever Forgive Me?,21,166.0,0.0,216.0
2018-11-21 17:00:00,Can You Ever Forgive Me?,12,100.5,0.0,43.0
2018-11-21 19:30:00,Can You Ever Forgive Me?,20,170.0,0.0,71.0
2018-11-22 14:30:00,Can You Ever Forgive Me?,13,108.5,0.0,50.5
2018-11-22 17:00:00,Can You Ever Forgive Me?,21,177.0,0.0,45.5
2018-11-22 19:30:00,Can You Ever Forgive Me?,41,382.5,0.0,132.75
2018-11-23 17:00:00,Can You Ever Forgive Me?,39,314.5,0.0,98.25
2018-11-23 19:30:00,Can You Ever Forgive Me?,40,379.5,0.0,165.75
2018-11-23 22:00:00,The Exorcist,2,8.0,0.0,0.0
2018-11-24 17:00:00,Can You Ever Forgive Me?,38,319.0,0.0,216.75
2018-11-24 19:30:00,Can You Ever Forgive Me?,35,320.75,0.0,72.25
2018-11-24 22:00:00,The Exorcist,19,128.0,0.0,127.0
2018-11-25 14:30:00,Can You Ever Forgive Me?,52,426.5,0.0,162.0
2018-11-25 17:00:00,Can You Ever Forgive Me?,20,163.0,0.0,95.0
2018-11-25 19:30:00,Can You Ever Forgive Me?,16,149.75,0.0,28.0
2018-11-26 16:30:00,Can You Ever Forgive Me?,14,112.75,0.0,53.25
2018-11-26 19:00:00,"Monrovia, Indiana",24,70.0,0.0,86.25
2018-11-27 16:30:00,Can You Ever Forgive Me?,20,163.0,0.0,71.75
2018-11-27 19:00:00,CatVideoFest 2018,190,1691.75,0.0,505.25
2018-11-28 17:00:00,Can You Ever Forgive Me?,20,166.0,0.0,94.0
2018-11-28 19:30:00,Can You Ever Forgive Me?,26,238.5,0.0,77.0
2018-11-29 17:00:00,Can You Ever Forgive Me?,13,110.75,0.0,69.5
2018-11-29 19:30:00,Can You Ever Forgive Me?,25,226.0,0.0,119.25
2018-11-30 17:00:00,Wildlife,13,100.5,20.0,60.5
2018-11-30 19:30:00,Wildlife,18,151.0,0.0,61.5
2018-11-30 22:00:00,Hereditary,44,328.0,0.0,249.75
2018-12-01 14:30:00,Wildlife,35,292.75,0.0,159.75
2018-12-01 17:00:00,Wildlife,25,208.25,0.0,21.75
2018-12-01 19:30:00,Wildlife,42,384.0,0.0,130.25
2018-12-01 22:00:00,Hereditary,14,104.0,0.0,40.25
2018-12-02 14:30:00,Wildlife,21,174.75,0.0,60.25
2018-12-02 17:00:00,Wildlife,15,123.0,0.0,32.0
2018-12-02 19:30:00,Wildlife,12,105.25,0.0,47.0
2018-12-03 17:00:00,Wildlife,6,52.5,0.0,6.0
2018-12-03 19:30:00,Wildlife,9,78.25,0.0,36.25
2018-12-04 17:00:00,Wildlife,15,122.25,0.0,64.5
2018-12-04 19:30:00,Wildlife,14,130.0,0.0,30.0
2018-12-05 16:30:00,Wildlife,5,42.25,0.0,10.0
2018-12-05 19:00:00,Wildlife,8,56.75,0.0,36.75
2018-12-05 21:30:00,Hereditary,9,72.0,0.0,16.0
2018-12-06 16:30:00,Wildlife,10,72.0,0.0,23.25
2018-12-06 19:00:00,Wildlife,5,36.5,0.0,10.0
2018-12-06 21:30:00,Hereditary,16,128.0,0.0,44.25
2018-12-07 17:00:00,Mirai,20,167.5,0.0,21.5
2018-12-07 19:30:00,Wildlife,19,150.5,0.0,19.25
2018-12-07 22:00:00,Suspiria (2018),80,600.0,0.0,306.0
2018-12-08 12:00:00,CatVideoFest 2018,31,236.75,0.0,69.0
2018-12-08 14:30:00,Wildlife,18,153.0,0.0,17.0
2018-12-08 17:00:00,Suspiria (2018),57,486.75,0.0,260.5
2018-12-08 20:00:00,Mirai,26,242.0,0.0,93.75
2018-12-08 22:00:00,Suspiria (2018),38,296.0,0.0,114.5
2018-12-09 12:00:00,CatVideoFest 2018,69,581.0,0.0,171.75
2018-12-09 14:30:00,Mirai,35,271.0,0.0,93.25
2018-12-09 17:00:00,Wildlife,29,241.0,10.0,63.0
2018-12-09 19:30:00,Suspiria (2018),29,256.25,0.0,111.0
2018-12-10 17:00:00,Mirai,12,81.5,0.0,39.75
2018-12-10 19:30:00,Butch Cassidy and the Sundance Kid,46,377.75,0.0,187.75
2018-12-11 16:30:00,Mirai,6,16.75,0.0,0.0
2018-12-11 19:00:00,"A Bread Factory, Part One",30,60.0,0.0,110.5
2018-12-12 16:30:00,Suspiria (2018),24,203.25,0.0,83.0
2018-12-12 19:30:00,Mirai,21,191.5,0.0,11.0
2018-12-13 16:00:00,Suspiria (2018),12,101.25,0.0,14.25
2018-12-13 19:00:00,Mirai,29,260.25,0.0,73.5
2018-12-13 21:30:00,Suspiria (2018),25,200.0,0.0,97.0
2018-12-13 22:00:00,Suspiria (2018),2,16.0,0.0,0.0
2018-12-14 16:30:00,Border,7,48.75,0.0,1.0
2018-12-14 19:00:00,Roma,55,446.75,0.0,163.75
2018-12-14 22:00:00,The Room,187,1496.0,0.0,736.0
2018-12-15 16:30:00,Border,27,204.75,0.0,473.0
2018-12-15 19:00:00,Roma,83,719.75,0.0,148.0
2018-12-15 22:00:00,The Room,158,1256.0,0.0,445.5
2018-12-16 12:00:00,Roma,23,194.5,0.0,31.0
2018-12-16 14:30:00,Roma,44,353.75,0.0,38.0
2018-12-16 17:15:00,Suspiria (2018),20,172.0,10.0,94.0
2018-12-16 20:15:00,Border,31,274.5,0.0,65.0
2018-12-17 16:30:00,Roma,16,132.5,0.0,49.5
2018-12-17 19:00:00,Sex Work Activism: Body Politics and Human Rights,1,0.0,0.0,105.25
2018-12-18 16:15:00,Roma,24,194.75,0.0,56.5
2018-12-18 19:00:00,"A Bread Factory, Part Two",30,50.0,30.0,99.5
2018-12-19 16:30:00,Roma,26,218.5,20.0,80.0
2018-12-19 19:15:00,Suspiria (2018),21,199.5,0.0,88.75
2018-12-20 16:30:00,Roma,18,147.0,0.0,57.0
2018-12-20 19:15:00,Roma,52,470.0,0.0,115.25
2018-12-20 22:00:00,Border,15,120.0,0.0,52.5
2018-12-21 17:00:00,Mary Queen of Scots,13,107.0,0.0,55.75
2018-12-21 19:30:00,Mary Queen of Scots,50,444.5,0.0,217.75
2018-12-21 22:00:00,Suspiria (2018),14,112.0,0.0,54.0
2018-12-22 14:30:00,Mary Queen of Scots,41,324.75,35.0,145.0
2018-12-22 17:00:00,Mary Queen of Scots,39,286.75,0.0,114.25
2018-12-22 19:30:00,Mary Queen of Scots,22,196.75,0.0,129.75
2018-12-23 14:30:00,Mary Queen of Scots,39,325.0,0.0,104.75
2018-12-23 17:00:00,Mary Queen of Scots,15,126.0,0.0,45.5
2018-12-23 19:30:00,Mary Queen of Scots,20,187.0,0.0,64.25
2018-12-24 13:30:00,Mary Queen of Scots,16,131.75,0.0,47.25
2018-12-24 16:00:00,Mary Queen of Scots,12,103.5,0.0,42.0
2018-12-25 17:00:00,Mary Queen of Scots,35,286.75,0.0,61.75
2018-12-25 19:30:00,Mary Queen of Scots,12,103.25,0.0,48.0
