Event,Adult,Child,Comp,Member,Senior,Student
L’Atalante,13,0,0,5,6,4
Mad Max: Fury Road,81,0,0,0,0,0
Made In Cuba: Short Film Program,31,0,1,3,18,8
Madeline's Madeline,11,0,1,3,2,2
Maiden,87,4,1,3,62,2
Manchester by the Sea,644,4,4,26,486,135
Mandy,166,0,0,3,0,10
Maria by Callas,34,2,3,3,68,8
Marjorie Prime,68,1,0,5,89,25
Marlina the Murderer in Four Acts,29,0,0,4,4,5
Mary Magdalene,46,0,2,1,67,4
Mary Queen of Scots,340,1,13,6,334,47
Mary and the Witch's Flower,286,32,4,4,14,180
Mass Incarceration: An Animated Series,0,0,1,0,0,0
Maximum Overdrive,39,0,1,2,0,0
McKellen: Playing the Part,16,0,11,14,0,0
McQueen,3,0,1,5,0,0
Meeting Gorbachev,40,0,7,9,48,12
Meeting the Man: James Baldwin in Paris / Ornette: Made in America,4,0,0,8,0,0
Menashe,92,0,0,4,116,21
Mi vida dentro,10,0,0,3,6,13
Mia Madre,16,0,0,1,8,6
Midsommar,358,1,14,9,24,148
Minding the Gap,15,0,1,5,7,7
Mirai,69,9,3,5,11,52
Miss Sharon Jones!,32,0,0,0,16,5
Mississippi Masala,0,0,6,0,0,0
"Monrovia, Indiana",7,0,0,17,0,0
Monterey Pop,72,0,1,1,0,3
Monty Python and the Holy Grail,51,5,0,1,2,20
Moonlight,1091,0,3,31,443,644
More Blood!,0,0,2,0,0,0
Morris from America,35,0,0,0,16,17
Mortal Kombat,0,0,152,0,0,0
Moses and Aaron,0,0,7,0,0,0
Mountainfilm 2017,231,0,0,14,0,0
Mountainfilm 2019,208,0,0,11,0,0
Mr. Gaga,59,0,0,0,0,3
Multiple Maniacs,50,0,2,0,0,0
My Cousin Rachel,236,1,1,3,349,20
My Neighbor Totoro,176,282,0,0,0,0
NYICFF Best of the Fest,0,134,0,0,0,0
Nancy,21,0,1,5,0,0
National Theatre Live: Follies,0,0,0,63,0,0
National Theatre Live: Julie,0,0,0,6,0,0
National Theatre Live: The Threepenny Opera,0,0,2,29,0,0
National Theatre Live: Yerma,0,0,1,29,0,0
Nausicaä of the Valley of the Wind,92,0,1,3,8,57
Neruda,54,0,15,15,0,0
Night of the Living Dead,30,0,0,0,0,0
Nise: The Heart of Madness,24,0,0,0,19,11
No Man's Land,0,0,2,89,0,0
Non-Fiction ,39,0,0,7,48,15
Norman,193,0,0,3,426,29
Nosferatu + Live Score by the Invincible Czars,179,0,5,27,0,0
Novitiate,45,0,2,11,50,2
Obit.,33,0,17,6,0,0
Ocean Waves,41,0,0,0,10,26
Oh Lucy!,49,0,0,4,33,6
Okko’s Inn,22,3,0,3,5,5
On the Beach at Night Alone,27,0,0,6,4,15
One More Time with Feeling,75,0,0,3,0,0
One Week and a Day,90,0,0,0,0,4
Ophelia,32,0,1,3,30,9
Oscar Trivia Night,60,0,0,0,0,0
Our Heavenly Bodies,59,0,0,0,0,0
Paddington 2,0,90,0,0,0,0
Pasolini,12,0,0,3,20,6
Paterson,387,2,4,18,357,120
Pavarotti,79,0,7,8,351,10
Persona,46,0,4,4,13,15
Pet Sematary,24,0,0,2,0,0
Phantasm,25,0,2,1,0,0
Phantom Thread,518,3,7,22,240,151
Phantom of the Paradise,66,0,0,0,0,0
Plus One,21,0,2,4,10,4
Police Story,45,2,3,5,0,1
Polyester ,26,0,4,3,0,0
Possession,75,0,0,0,0,0
Prom Night,15,0,0,4,0,0
Punch-Drunk Love,25,0,2,0,0,0
R.S.,102,0,0,0,0,0
RBG,1120,52,9,25,966,209
Rafiki,34,0,2,2,16,10
Raw,0,0,102,0,0,0
Red Joan,84,0,6,5,179,8
Retablo,11,0,0,1,12,3
Revenge,52,0,1,2,1,2
Robot & Frank,18,0,1,5,0,5
Rogers Park,28,0,0,4,16,8
Rollerball,13,0,1,2,0,0
Roma,201,2,11,7,222,51
Rosa Chumbe,19,0,0,2,7,2
Rosemary's Baby,120,0,8,0,0,0
Rubber,56,0,1,3,0,0
Ruben Blades is Not My Name,5,0,0,0,2,3
"Ruben Brandt, Collector",30,0,4,5,19,16
Santa Sangre,62,0,0,1,3,31
Satan & Adam,1,0,0,6,0,0
Saving Brinton,24,0,1,7,0,0
Scarlet Diva,6,0,1,1,0,0
Science Fair,14,9,1,2,10,4
Science on Screen: Bombshell: The Hedy Lamarr Story,2,0,0,0,0,0
Selma,13,0,0,0,0,2
Sex Work Activism: Body Politics and Human Rights,0,0,1,0,0,0
Shadow,70,0,4,3,19,9
Shalom Bollywood: The Untold Story of Indian Cinema,87,0,0,0,0,0
Shoplifters,176,0,10,10,60,80
Silence,1,0,0,0,2,0
Skate Kitchen,20,0,0,3,2,4
Slice,20,0,0,4,0,3
Smart 'n Spooky Kids,0,0,187,0,0,0
Solaris,134,0,4,0,0,0
Sonita,52,0,0,0,0,6
Sorry to Bother You,870,5,12,11,162,224
Space Jam,111,3,0,0,2,6
Space is the Place,31,0,2,3,0,0
Speak Up,3,0,0,1,0,0
Stalker,197,0,1,0,0,0
Stan & Ollie,45,0,10,3,67,4
Starving the Beast,0,0,1,0,0,0
Stefan Zweig: Farewell to Europe,96,0,0,0,0,3
Step,76,9,0,0,35,43
Stop Making Sense,139,0,0,0,0,23
Studio 54,28,0,0,3,12,5
Summer 1993,8,0,0,14,0,0
Summer of 84,26,0,3,1,0,0
Summer with Monika,25,0,2,6,7,9
Superman,26,0,0,2,2,0
Suspiria (1977),93,0,1,2,6,20
Suspiria (2018),264,0,4,4,17,33
Sustainable,0,0,1,0,0,0
Sword of Trust,42,0,2,26,12,1
T2 Trainspotting,34,0,2,1,9,22
Tales From The Hood,22,0,3,1,0,0
Tangerine,6,0,0,0,0,0
Taxi Driver,56,0,0,0,0,0
Tell Them We Are Rising: The Story of Black Colleges and Universities,16,5,1,3,2,6
Terminal Island,12,0,0,0,0,0
The 18th Annual Animation Show of Shows,68,0,0,0,0,27
The 19th Annual Animation Show of Shows,41,0,2,6,23,16
The Aftermath,118,0,4,6,129,53
The Atomic Cafe,29,0,0,18,0,0
The BFG,79,26,0,0,26,30
The Bad Batch,61,0,0,0,0,0
The Beaches of Agnès,13,0,0,1,4,5
The Beatles: Eight Days a Week - The Touring Years,373,20,9,11,281,53
The Beguiled,512,0,2,3,463,88
The Big Bad Fox and Other Tales…,0,87,0,0,0,0
The Big Lebowski,176,0,4,5,8,5
The Big Sick,581,0,5,19,343,143
The Biggest Little Farm,83,3,2,4,68,12
The Bird with the Crystal Plumage,29,0,1,2,0,0
The Birth of a Nation,157,6,3,4,58,95
The Black Cat,19,0,1,2,0,0
The Blob (1988),23,0,0,2,0,0
The Book of Life,0,0,36,0,0,0
The Cakemaker,71,0,0,0,0,0
The Clan,18,0,0,2,13,11
The Clovehitch Killer,48,0,0,4,0,0
The Club,28,0,2,1,16,4
The Dead Don't Die,100,0,1,3,5,8
The Death of Stalin,290,0,7,9,116,64
The Endless,87,0,1,3,6,2
The Exorcist,17,0,3,1,0,0
The Farewell,246,0,6,12,153,93
The Favourite,346,1,16,9,221,132
The Florida Project,385,1,3,19,218,105
The Fog,52,0,0,3,0,0
The Friends of Eddie Coyle,23,0,0,0,0,1
The Gospel According to André,15,0,0,2,8,6
The Grand Budapest Hotel,246,0,0,0,0,0
The Guilty,73,0,5,4,44,17
The Handmaid's Tale,30,0,0,0,0,0
The Handmaiden,215,0,3,3,27,21
The Heiresses,23,0,0,2,19,3
The Hero,55,0,0,0,56,12
The Howling,8,0,0,1,0,0
The Innocents,93,1,0,0,137,18
The Insult,56,0,0,3,53,34
The Kid,0,58,0,0,0,0
The Killing,72,0,11,0,2,1
The Killing of a Sacred Deer,106,0,1,4,5,38
The Lady from Shanghai,37,0,6,2,11,0
The Last Black Man in San Francisco,321,0,2,16,255,72
The Little Hours,122,0,0,0,11,54
The Lost City of Z,273,0,3,5,154,107
The Love Witch,0,0,101,0,0,0
The Lovers,180,0,0,5,242,27
The Lure,101,0,0,4,12,46
The Man Who Killed Don Quixote,68,0,3,4,33,9
The Matrix,44,0,0,0,0,0
The Miseducation of Cameron Post,127,0,1,8,42,69
The Mulberry House,34,0,0,0,0,3
The Muppet Christmas Carol,29,12,0,0,2,12
The Night of the Hunter,50,0,0,0,7,1
The Nightingale,30,0,2,3,0,0
