,Events,Quantity,Price,Merchandise_Sales,Concession_Sales
333,Marlina the Murderer in Four Acts,42,319.75,0,106.25
334,Skate Kitchen,29,241.25,0,169
335,Fanny and Alexander,44,349.5,0,76.75
336,Deconstructing the Beatles: 1963 Yeah! Yeah! Yeah!,23,219.75,0,56.75
337,The Wife,858,7159.25,0,2557.25
338,Deep Red,52,399,0,219.75
340,Summer 1993,22,80,0,125.25
341,Holiday Heart,37,297.75,0,157.75
342,Let the Corpses Tan,19,136,0,61.5
343,National Theatre Live: Julie,6,108,0,10
345,The Shocktober Film Festival,21,291,0,82.75
347,First Man,2,0,0,579.5
348,Andrei Rublev,41,357.25,0,137
352,McQueen,9,30,0,21
353,This Is Home: A Refugee Story,24,204.25,0,33.75
354,Prom Night,19,120,0,88.75
356,Phantasm,28,200,0,125.5
357,Mi vida dentro,32,260,0,84.5
358,Bones,3,16,0,28.25
360,The Howling,9,64,0,37.5
361,Bisbee '17,43,363.25,0,139
362,Halloween (1978),93,744,0,389
363,Free Solo,653,5610.5,0,2532
364,The Fog,55,416,0,201.75
366,Time for Ilhan,12,83.5,0,53.75
367,The Guilty,143,1192.5,0,484.25
368,The Bird with the Crystal Plumage,32,232,0,118.5
370,Saving Brinton,32,296,0,113.25
371,Can You Ever Forgive Me?,915,7850,0,3275.5
372,Velvet Goldmine,16,104,0,53.25
373,The Exorcist,21,136,0,127
374,"Monrovia, Indiana",24,70,0,86.25
375,CatVideoFest 2018,290,2509.5,0,746
377,Hereditary,83,632,0,350.25
378,Mirai,149,1230.5,0,332.75
380,Butch Cassidy and the Sundance Kid,46,377.75,0,187.75
381,"A Bread Factory, Part One",30,60,0,110.5
382,Border,158,1337.25,0,845
384,Sex Work Activism: Body Politics and Human Rights,1,0,0,105.25
387,Anna and the Apocalypse,63,488,0,350.5
388,Maria by Callas,118,925.5,0,297.5
390,The Clovehitch Killer,52,384,0,175
392,Don’t Look Now,39,272,0,93.25
393,A League of Their Own,44,417,0,263.75
394,Why Don’t You Play in Hell?,21,144,0,86.5
395,L’Atalante,28,213.5,0,82.75
396,Found Footage Festival: Cherished Gems,193,2056,0,701.25
398,Burning,83,686.75,0,277.25
399,Halloween (2018),23,141.25,0,55
400,I Am Not a Witch,19,60,0,59
402,The Favourite,725,6160.75,0,2879.5
403,Mississippi Masala,6,0,0,192.5
404,The Oscar Nominated Short Films 2019: Live Action,254,2116.75,0,856.5
405,Groundhog Day,26,208,0,159.75
407,The Oscar Nominated Short Films 2019: Documentary,143,1143,0,369.25
408,Mass Incarceration: An Animated Series,1,0,0,188.5
409,Thelma & Louise,24,216.75,0,103.25
411,Audition,68,488,0,240.75
412,Cold War,397,3410.5,0,1295.25
414,R.S.,102,1530,0,146.5
416,Stan & Ollie,129,961.75,0,486
417,They Shall Not Grow Old,392,3470.75,0,1302.75
418,Science Fair,40,300.25,0,159.25
419,The Cakemaker,84,710,0,254.5
420,Meeting the Man: James Baldwin in Paris / Ornette: Made in America,12,40,0,57.5
421,Zama,33,283.25,0,74.75
423,Hotel by the River,27,182,0,76.5
424,"Ruben Brandt, Collector",74,564,0,243.5
426,Destroyer,40,319.5,0,224
427,Speak Up,4,26.25,0,24.25
428,Birds of Passage,47,342.75,0,154.25
429,Killer of Sheep,24,178.75,0,79.25
431,Woman at War,95,798.5,0,339.25
433,Slice,27,192,0,139.75
434,Shalom Bollywood: The Untold Story of Indian Cinema,93,870,0,214
436,Dreaming of a Jewish Christmas,72,600,0,152.75
437,Mountainfilm 2019,219,2630,0,921
438,Nausicaä of the Valley of the Wind,161,1470.5,0,541.5
439,The Beaches of Agnès,23,205.5,0,81
440,Giant Little Ones,35,280.5,0,129.25
441,Apollo 11,169,1418.75,0,1321.75
442,Maximum Overdrive,42,312,0,243.75
443,Retablo,27,216.25,0,35.5
444,Ruben Blades is Not My Name,10,92,0,0
445,Satan & Adam,7,10,0,15.5
447,Rubber,60,448,0,316.25
448,Buy Me a Gun,17,127.5,0,26
449,Todo el año es navidad,10,76.5,0,29.5
450,High Life ,72,580.75,0,239.75
451,Christine,22,152,0,61
452,Boyz n the Hood,15,115.75,0,45
453,Mary Magdalene,120,1019.25,0,446.75
456,Wild Nights with Emily,132,1071,0,467
457,Hagazussa,39,272,0,140.5
460,Brazil,45,328,0,208.25
461,Bike Movie Night,4,40,0,200
462,Little Woods,15,50,0,72
463,Meeting Gorbachev,116,856,0,306.5
464,Shadow,105,910.5,0,370.25
465,Okko’s Inn,38,292.75,0,157.5
466,Ask Dr. Ruth,37,310.5,0,133
467,The Biggest Little Farm,172,1471,0,459
468,Hail Satan?,129,1037.5,0,477.5
469,Crooklyn,12,79.5,0,82.5
471,Non-Fiction ,109,908.25,0,355.75
472,Polyester ,33,208,0,182.25
475,All Is True,178,1490.5,0,419
476,Booksmart,273,2287.5,0,940.75
477,Plus One,41,304,0,186
478,Late Night,166,1363,0,615.25
479,Tangerine,6,48,0,27.25
481,Climax,34,256,0,133.5
482,Paddington 2,90,0,0,174.25
483,Tito and the Birds,83,0,0,228.5
484,The River and the Wall,164,1469.25,0,440.75
486,Dilili in Paris,42,0,0,118.25
487,The Big Bad Fox and Other Tales…,87,0,0,183.75
488,Ophelia,75,561.75,0,276.25
489,Pavarotti,455,3716,0,894.75
490,American Woman,142,1078.75,0,418
491,Liyana,68,0,0,148
492,Sword of Trust,83,459.5,0,319
493,Echo In The Canyon,227,1808,0,699.25
494,The Dead Don't Die,117,952.25,0,570.75
495,The Farewell,510,4322.25,0,1497.5
496,Pet Sematary,26,192,0,118.75
497,Maiden,159,1293.25,0,382.25
498,A Faithful Man ,19,90,0,36
499,Luce,23,186.5,0,86
500,Toni Morrison: The Pieces I am ,69,578.5,0,140.25
501,The Nightingale,35,240,0,101
3,The Killing,86,601.75,10,316.5
7,My Neighbor Totoro,458,1408,10,1468.75
21,Dog Day Afternoon,64,478.5,10,189.75
28,The Matrix,44,352,10,195.75
39,The Vessel,29,228.75,10,101.5
52,Edge of Seventeen,1,0,10,123
53,Dawn of the Dead,32,256,10,185
66,Mad Max: Fury Road,81,405,10,413.25
74,Arrival,179,1391.75,10,470.75
95,Mountainfilm 2017,245,3010,10,701.5
97,The Zookeeper's Wife,1081,8814.25,10,3098
98,Black Girl,70,628,10,191.75
116,The Lovers,454,3729,10,1266.5
123,The 18th Annual Animation Show of Shows,95,896,10,183.75
125,A Quiet Passion,422,3310.25,10,872
134,Batman: The Movie,146,1168,10,710.25
135,The Beguiled,1068,8883.5,10,3565.5
149,Endless Poetry,110,1010.5,10,276.5
150,The Kid,58,0,10,272.5
156,Lady Macbeth,301,2456.75,10,1034.5
170,The Texas Chain Saw Massacre,121,952,10,433.25
215,Novitiate,110,797.5,10,535.5
226,Tom of Finland,180,1506.75,10,583
231,Mary and the Witch's Flower,520,4433.5,10,1319
238,The Wound,70,600.75,10,204.5
242,The Oscar Nominated Short Films 2018: Live Action,294,2310.75,10,728.5
243,Space is the Place,36,248,10,132.5
246,Close Encounters of the Third Kind,52,453.5,10,232.5
256,Robot & Frank,29,222.5,10,68
265,Bombshell: The Hedy Lamarr Story,205,1707.5,10,540.25
267,Leaning Into the Wind: Andy Goldsworthy,121,1002.5,10,412.25
286,The Endless,99,830.5,10,338.5
300,How to Talk to Girls at Parties,62,472,10,216.5
315,BlacKkKlansman,1719,14936.25,10,5806
316,Do the Right Thing,50,392,10,194
327,Blindspotting,207,1763,10,656.5
350,Ganja & Hess,9,40,10,47
355,The Old Man & the Gun,1295,10771.75,10,4476.5
365,Bicycle Thieves,50,391.25,10,137.75
369,Studio 54,48,407.25,10,891.5
379,Suspiria (2018),322,2643,10,1223
410,Capernaum,202,1701.75,10,568.5
413,Candyman,31,224,10,162.75
432,Transit,73,618,10,286
446,Amazing Grace,477,4064,10,1691.5
454,Rafiki,64,544.5,10,842.25
455,Long Day's Journey Into Night,68,579.5,10,894.5
458,The Man Who Killed Don Quixote,117,983.75,10,439.75
459,Red Joan,282,2269.75,10,891.75
474,Pasolini,41,328,10,112.25
339,Foreign Body,19,90,15,28.75
346,"Juliet, Naked",302,2599.75,15,1089.5
349,Blaze,98,839.75,15,477.75
8,Tickled,266,2446.75,20,716.75
9,The Sandlot,20,160,20,108
25,One More Time with Feeling,78,775.5,20,305.75
30,Morris from America,68,598.25,20,153
37,Lo and Behold: Reveries of the Connected World,89,742.5,20,200.5
40,Demon,72,568,20,303.5
41,The People vs. Fritz Bauer,54,418.5,20,128
50,The Rocky Horror Picture Show,2722,26974,20,8184.5
51,Nosferatu + Live Score by the Invincible Czars,211,2418,20,742.5
57,K2 and the Invisible Footmen,3,9.75,20,67
72,Blade Runner,359,2858,20,1375
75,Get Out,335,672,20,1171
93,The Lure,163,1460.25,20,655
101,Tony Conrad: Completely in the Present,38,304,20,91
103,Space Jam,122,971.25,20,337.75
104,The Lost City of Z,542,4539.5,20,2550.5
119,Mr. Gaga,62,614,20,134.75
142,The Big Sick,1091,9145.25,20,2884.75
163,In Transit,89,480,20,185
165,Menashe,233,1910.5,20,526.75
178,Columbus,412,3336.75,20,978.75
191,Viceroy's House,264,2100.5,20,824
193,An Evening With Linnea Quigley,66,985,20,455.25
194,"Found Footage Festival, Vol. 8",108,1060,20,404.5
213,The Florida Project,731,6174.75,20,2134.25
218,"Three BIllboards Outside Ebbing, Missouri",1182,9744,20,3798.25
257,A Fantastic Woman,323,2781.5,20,965
268,Thoroughbreds,248,2236.25,20,859.75
269,The Grand Budapest Hotel,246,1240,20,1008.5
272,Before We Vanish,68,520,20,214.75
282,You Were Never Really Here,225,1969,20,759.25
289,Revenge,58,465.25,20,203.25
302,Kiki's Delivery Service,102,768,20,685.25
303,Belle De Jour,58,490.75,20,189.5
321,Hot Summer Nights,29,200,20,158.25
323,A Quiet Place,158,1234.5,20,506.5
351,All-Nite Horror Marathon VI,26,420,20,205.25
383,Roma,494,4130.75,20,1117.75
389,At Eternity's Gate,732,6132.25,20,1829.25
391,If Beale Street Could Talk,849,7052.5,20,3147
401,Police Story,56,387.5,20,286.25
406,2019 Oscar Nominated Short Films: Animation,342,2822,20,729.25
425,The Heiresses,47,402,20,122
430,The United States of Autism,39,380,20,80.25
435,The Aftermath,310,2611.5,20,1080.25
470,Too Late to Die Young ,60,494.75,20,186
473,Before Night Falls,9,30,20,5.5
1,The BFG,161,1333.5,30,531.75
18,The Wailing,121,937,30,458
45,A Man Called Ove,735,5965.5,30,1994
69,Elle,124,1048.5,30,282.75
81,Paterson,888,7162,30,2477.25
100,Donnie Darko,336,2648,30,1096.5
102,T2 Trainspotting,68,575,30,628.5
